tracking_id	root_0	root_1	root_2	root_3
Zosma107g00370	15186.8	9543.45	1503.26	9916.68
Zosma107g00380	131.018	114.963	58.1134	82.2522
Zosma107g00390	483.505	446.416	364.918	308.649
Zosma107g00400	155.626	116.456	54.6949	104.24
Zosma107g00410	422.984	424.021	156.393	279.332
Zosma107g00420	428.969	373.258	415.34	404.746
Zosma107g00430	893.852	1043.63	21.3652	875.457
Zosma107g00450	798.747	624.833	123.918	249.2
Zosma107g00460	135.674	145.571	124.773	109.127
Zosma107g00490	484.17	436.712	590.534	602.64
Zosma107g00510	415.003	372.511	176.904	258.972
Zosma107g00520	233.439	259.787	188.868	258.972
Zosma107g00540	3189	2741.2	1141.76	3145.94
Zosma107g00560	28.5979	39.5653	162.376	108.312
Zosma107g00580	24.6075	29.1141	66.6594	35.0183
Zosma107g00590	1166.53	1050.35	2204.89	2878.01
Zosma107g00620	750.862	694.259	452.088	656.389
Zosma107g00630	160.947	150.05	205.961	230.469
Zosma107g00640	15.2966	35.0862	73.4963	52.1202
Zosma107g00650	116.387	115.71	127.337	142.516
Zosma107g00660	106.411	136.612	2.56382	226.397
Zosma107g00680	1323.49	775.63	978.526	957.709
Zosma107g00690	77.1479	88.0888	71.7871	105.869
Zosma107g00700	577.944	553.168	397.393	500.028
Zosma107g00710	1302.87	1328.8	2920.2	2378.8
Zosma107g00720	99.0952	78.3841	0.854608	109.941
Zosma107g00730	438.945	325.481	153.829	96.911
Zosma107g00740	52.5404	40.3118	32.4751	21.1738
Zosma107g00750	282.654	302.339	458.925	435.692
Zosma107g00760	218.808	201.559	402.52	381.943
Zosma107g00800	22930.2	22248.4	14952.2	13245
Zosma107g00810	414.338	474.784	617.882	496.771
Zosma107g00820	229.449	211.264	278.602	217.439
Zosma107g00830	155.626	164.233	328.17	241.056
Zosma107g00850	742.216	766.671	999.892	966.667
Zosma107g00860	59.1911	53.0026	106.826	73.294
Zosma107g00880	238.76	258.294	772.566	507.358
Zosma108g00020	429.634	306.818	0	600.197
Zosma108g00030	108.406	83.6097	196.56	95.2823
Zosma108g00040	55.2007	55.2421	60.6772	86.3241
Zosma108g00060	427.639	365.793	297.404	440.579
Zosma108g00070	100.425	117.203	131.61	63.5215
Zosma108g00080	87.789	97.047	43.585	52.9346
Zosma108g00100	70.4973	86.5958	99.1345	96.911
Zosma108g00110	897.842	815.195	1219.53	983.769
Zosma108g00130	409.017	371.018	577.715	604.269
Zosma108g00140	471.534	392.667	298.258	522.016
Zosma108g00150	295.955	274.718	293.131	320.051
Zosma108g00160	117.717	180.657	47.0034	179.978
Zosma108g00170	3727.04	3225.69	451.233	753.3
Zosma108g00180	190.875	173.938	70.0779	52.9346
Zosma108g00190	93.7747	94.0609	282.021	201.966
Zosma108g00200	12.6363	18.6629	81.1878	48.8627
Zosma108g00210	397.711	365.046	508.492	408.818
Zosma108g00240	201.516	229.927	401.666	324.123
Zosma108g00250	232.109	179.91	99.9892	99.3541
Zosma108g00270	612.528	697.245	983.654	942.236
Zosma108g00290	214.152	192.601	184.595	123.785
Zosma108g00300	1175.84	1039.15	311.932	314.35
Zosma108g00350	132.349	297.113	2484.35	1084.75
Zosma108g00360	91.7794	122.429	263.219	130.301
Zosma108g00370	122.373	135.866	204.251	162.876
Zosma108g00380	611.863	683.062	1790.4	1220.75
Zosma108g00390	815.374	749.501	140.156	1339.65
Zosma108g00400	75.1527	76.8911	171.776	128.672
Zosma109g00010	1157.22	1178	2602.28	1587.22
Zosma109g00020	973.66	1082.45	1111.85	1462.62
Zosma109g00030	140.995	116.456	292.276	230.469
