tracking_id	female_flower_early_0	female_flower_early_3	female_flower_early_1	female_flower_early_2	female_flower_late_1	female_flower_late_0
Zosma173g00180	1075.77	347.25	267.702	98.7729	975.069	282.067
Zosma173g00220	625.321	779.995	610.842	662.818	1000.48	729.507
Zosma174g00030	162.624	233.061	174.451	243.683	169.167	236.056
Zosma174g00050	134.726	113.603	215.314	300.217	209.825	129.364
Zosma174g00060	59.8784	41.5763	0.523878	0	4.35623	18.0043
Zosma174g00070	212.296	327.926	218.981	135.813	511.857	386.759
Zosma174g00080	3068.09	4175.2	3022.78	3416.76	4710.54	3609.53
Zosma174g00090	229.987	326.754	255.652	298.268	373.184	316.742
Zosma174g00110	157.181	174.503	140.399	132.564	168.441	156.037
Zosma174g00140	71.4458	25.7656	16.2402	5.19857	18.151	24.6725
Zosma174g00170	1898.42	819.814	1504.58	1022.82	1102.13	502.12
Zosma174g00190	1867.8	2573.04	2202.91	1995.6	3593.16	2631.96
Zosma174g00260	1260.85	1575.21	1293.98	1176.18	1533.39	1677.07
Zosma174g00270	372.879	300.989	382.431	291.77	302.758	325.411
Zosma174g00290	146.974	353.106	95.3458	39.6391	663.599	626.816
Zosma174g00300	206.172	384.727	192.787	248.232	398.595	370.088
Zosma174g00320	42.1871	25.7656	42.958	3.89893	100.193	35.3418
Zosma174g00360	203.45	291.034	202.741	373.647	443.609	454.775
Zosma174g00370	173.511	286.349	175.499	213.141	338.334	265.397
Zosma174g00380	100.705	178.602	104.776	183.899	202.565	160.705
Zosma174g00390	195.966	143.467	159.259	148.159	101.645	78.0186
Zosma174g00400	395.333	329.682	297.563	383.395	325.265	363.42
Zosma174g00410	567.484	419.276	269.797	351.553	336.882	206.049
Zosma174g00420	885.928	979.092	1005.32	1213.87	948.932	879.543
Zosma174g00430	520.534	439.186	494.017	467.222	491.528	314.742
Zosma174g00440	590.619	621.888	655.371	690.11	667.955	582.805
Zosma174g00450	417.788	313.286	480.92	591.337	478.459	326.078
Zosma174g00460	114.313	152.837	135.684	126.715	143.03	166.706
Zosma174g00470	312.32	505.357	334.758	330.759	672.311	579.471
Zosma174g00480	282.381	251.214	360.428	419.135	167.715	226.721
Zosma175g00020	476.305	546.933	522.83	575.742	645.448	590.141
Zosma175g00030	119.076	128.828	106.871	167.654	148.112	136.699
Zosma175g00060	454.531	367.16	414.911	517.908	470.473	342.748
Zosma175g00080	51.0327	23.4233	14.6686	5.84839	15.2468	14.6702
Zosma175g00100	157.181	142.296	162.402	210.542	124.153	126.03
Zosma175g00150	433.438	358.376	430.628	478.269	339.786	389.426
Zosma175g00160	735.552	888.327	843.443	863.613	1109.39	847.535
Zosma175g00170	215.018	308.601	222.648	322.311	293.319	298.071
Zosma175g00190	135.407	193.242	142.495	267.726	196.03	213.384
Zosma175g00200	428.834	240.332	348.903	270.326	267.908	188.712
Zosma175g00210	846.304	397.367	705.663	411.337	394.239	397.428
Zosma175g00220	259.927	99.5488	225.791	128.015	63.1653	52.6792
Zosma175g00250	136.768	155.179	123.111	122.166	218.537	160.705
Zosma175g00260	344.301	363.646	273.988	275.524	365.197	335.413
Zosma175g00290	191.883	122.387	163.974	141.011	145.934	114.027
Zosma175g00300	192.563	397.61	264.558	657.619	264.278	242.724
Zosma175g00310	541.627	582.654	586.219	551.049	514.761	514.122
Zosma175g00320	396.014	707.968	439.534	689.461	684.654	730.841
Zosma175g00330	8.84567	75.54	16.7641	12.3466	67.5215	73.3508
Zosma175g00340	379.003	152.837	495.588	135.163	127.057	212.717
Zosma175g00390	284.422	130.585	349.427	335.958	223.62	123.363
Zosma176g00030	221.822	209.638	170.784	147.509	175.701	224.053
Zosma176g00040	349.744	260.584	370.906	382.095	173.523	258.061
Zosma176g00050	135.407	156.936	130.969	129.314	60.9872	129.364
Zosma176g00090	37.424	76.1256	42.958	68.8811	25.4113	50.6787
Zosma176g00100	43.5479	63.2428	30.3849	81.2277	24.6853	54.6797
Zosma176g00120	364.033	424.547	432.199	556.897	241.771	345.416
Zosma176g00160	178.274	320.899	253.557	191.697	397.869	270.731
Zosma176g00170	13.6087	39.234	8.90592	5.84839	31.9457	31.3408
Zosma176g00180	272.175	207.296	205.884	188.448	265.004	197.38
Zosma176g00190	402.818	305.674	366.714	383.395	410.212	322.077
Zosma176g00200	770.934	896.525	769.577	758.991	864.711	820.862
Zosma176g00210	63.961	1415.94	73.8668	24.6932	599.707	799.524
