tracking_id	male_flower_0	male_flower_1	male_flower_3	male_flower_2	male_flower_4	male_flower_6	male_flower_5
Zosma15g01500	161.384	49.696	221.617	192.895	187.764	172.451	239.839
Zosma15g01510	260.191	239.444	305.628	199.433	254.707	205.374	328.29
Zosma15g01520	1424.46	1432.15	774.935	1242.37	782.08	1265.17	792.659
Zosma15g01530	80.692	99.392	102.842	111.16	83.2694	114.445	154.79
Zosma15g01540	16.4678	0	111.533	70.2921	83.2694	32.9225	81.6473
Zosma15g01550	742.696	1016.51	977.721	747.058	755.956	846.579	785.855
Zosma15g01560	996.299	731.886	1096.5	1209.68	976.375	1351.39	1743.51
Zosma15g01580	75.7517	27.1069	18.8302	70.2921	24.491	67.4128	79.9463
Zosma15g01600	6264.34	10142.5	4077.46	4336.86	3500.58	5941.73	1553
Zosma15g01640	69.1646	81.3207	137.605	80.1003	117.557	48.5999	139.481
Zosma15g01650	250.31	284.623	492.482	277.899	480.024	250.838	268.756
Zosma15g01670	79.0452	58.7316	24.6241	29.4246	32.6547	10.9742	47.6276
Zosma15g01680	174.558	126.499	241.896	380.885	313.485	346.47	411.638
Zosma15g01690	55.9904	31.6247	81.1147	109.525	81.6367	61.1418	34.0197
Zosma15g01700	813.507	1138.49	657.608	698.017	623.704	761.921	416.741
Zosma15g01710	75.7517	149.088	146.296	284.438	174.703	269.651	34.0197
Zosma15g01720	23.0549	4.51782	59.3875	37.5981	62.0439	26.6516	30.6177
Zosma15g01730	93.8662	31.6247	97.0479	65.388	99.5968	112.877	39.1227
Zosma15g01740	108.687	49.696	128.914	75.1962	132.251	106.606	85.0493
Zosma160g00040	233.842	153.606	1047.25	887.642	994.335	644.341	498.389
Zosma160g00060	87.2791	58.7316	121.672	86.6391	122.455	87.7934	459.266
Zosma160g00070	410.047	347.872	447.579	452.812	466.962	471.89	166.697
Zosma160g00110	169.618	185.231	154.987	183.086	150.212	123.851	125.873
Zosma160g00130	619.188	668.637	996.552	1041.3	955.149	1235.38	166.697
Zosma160g00160	23.0549	27.1069	57.939	27.7899	42.4511	32.9225	125.873
Zosma160g00170	6720.49	14872.7	6266.11	6424.37	5482.72	8196.14	1217.91
Zosma160g00190	536.849	953.26	428.749	621.186	507.78	728.999	210.922
Zosma160g00200	42.8162	36.1425	126.017	75.1962	83.2694	56.4386	312.981
Zosma160g00210	317.828	185.231	579.39	532.912	386.958	598.876	151.388
Zosma160g00240	640.596	858.385	541.73	560.702	468.595	619.257	549.418
Zosma160g00250	164.678	225.891	70.9753	99.7167	68.5748	142.664	49.3286
Zosma160g00260	568.138	971.331	711.202	613.013	674.319	666.289	386.124
Zosma160g00270	230.549	971.331	147.745	163.47	161.641	210.077	299.373
Zosma160g00280	29.642	76.8029	31.8665	31.0593	32.6547	43.8967	57.8335
Zosma160g00290	1432.7	3212.17	935.716	1226.03	938.822	1589.69	3136.62
Zosma160g00300	13.1742	13.5535	30.418	53.9451	29.3892	37.6257	10.2059
