tracking_id	vegetative_0	vegetative_1	vegetative_5	vegetative_4	vegetative_3	vegetative_2
Zosma4g02170	100.617	51.029	127.783	62.1261	223.419	370.012
Zosma4g02180	581.026	718.465	616.259	679.785	692.2	565.767
Zosma4g02190	2138.46	632.064	1931.25	1008.42	2215.24	2353.59
Zosma4g02200	4.25141	83.502	11.7814	12.6053	6.98184	4.52614
Zosma4g02220	1006.17	213.394	1438.24	703.195	508.677	921.069
Zosma4g02240	467.655	265.003	349.818	390.764	474.765	345.118
Zosma503g00020	0	458.681	0	48.6204	0	0
Zosma503g00030	595.198	68.4253	293.629	128.754	728.107	214.992
Zosma506g00010	0	117.135	0.906264	41.4174	0	3.3946
Zosma506g00030	0	34.2126	0.906264	0.900378	0	0
Zosma506g00040	31.0135	378.787	9.8168	47.6065	0.00126286	5.02872
Zosma506g00060	48.3461	393.454	41.8401	205.4	31.916	48.1534
Zosma506g00070	209.736	46.39	237.441	109.846	299.222	291.936
Zosma506g00080	14.1714	354.884	12.6877	566.338	18.9507	70.1551
Zosma507g00010	0	0	6.34385	27.0113	0	15.8415
Zosma508g00040	34.0113	13.917	36.2505	18.9079	46.8781	70.1551
Zosma508g00050	29.7599	5.21888	5.43758	0	32.9144	10.1838
Zosma509g00010	0	71.3247	1.81253	14.406	0	2.26307
Zosma509g00020	328.776	122.354	178.534	192.681	272.292	87.1282
Zosma50g00030	487.495	289.938	400.569	632.065	638.34	574.82
Zosma50g00040	491.747	771.814	942.514	1314.55	1424.3	1377.08
Zosma50g00050	53.8512	118.874	70.6886	56.7238	62.8366	42.9983
Zosma50g00060	2.83427	156.566	5.43758	2.70113	3.98962	1.13153
Zosma50g00070	1507.83	817.044	1511.65	1025.53	1390.38	1637.33
Zosma50g00090	1.41714	212.234	7.25011	23.4098	3.98962	15.8415
Zosma50g00100	5409.21	2148.44	5647.83	4335.32	5549.57	5705.2
Zosma50g00110	2.83427	52.1888	0.906264	3.60151	0	1.13153
Zosma50g00150	53.8512	410.552	101.502	451.089	73.8081	325.882
Zosma50g00160	316.022	1161.49	390.6	1779.15	480.75	763.786
Zosma50g00190	182.811	148.448	204.816	135.957	234.39	125.6
Zosma50g00200	90.6968	71.3247	96.9702	74.7314	87.7717	141.442
Zosma50g00210	97.7825	128.152	94.2514	154.865	77.7977	136.916
Zosma50g00220	69.4397	93.3599	87.0013	107.145	76.8003	121.074
Zosma50g00240	338.696	214.554	310.848	178.275	350.09	245.543
Zosma50g00260	293.347	365.901	279.129	306.128	335.128	246.675
Zosma50g00270	666.054	416.35	245.597	322.335	1251.74	109.759
Zosma50g00280	291.93	433.167	365.224	285.42	341.113	323.619
Zosma50g00300	269.256	366.481	299.067	374.557	272.292	329.277
Zosma50g00320	83.6111	78.863	97.8765	125.153	78.7951	134.653
Zosma50g00330	233.828	150.188	340.755	259.309	343.108	358.696
Zosma50g00410	616.455	180.341	708.698	469.997	575.503	983.304
Zosma50g00420	170.056	53.9284	189.409	92.7389	240.375	181.046
Zosma50g00430	60.9369	674.975	152.252	674.383	89.7666	407.352
